Task,Status,Explanation
Section A - 1,Completed,"The application dynamically generates a title header where the number of dashes above and below the title matches the length of 'Disneyland Review Analyser' using '-' * len(title)."
Section A - 2,Completed,"The dataset is loaded into a list structure using the load_data() function in main.py, and the total number of records read is displayed to confirm successful loading."
Section A - 3,Completed,"The main menu is displayed with the correct options and formatting by calling display_main_menu() from tui.py, ensuring separation between user interface and control logic."
Section A - 4,Completed,"Conditional logic validates menu selections, confirming valid choices or displaying an error message for invalid input."
Section A - 5,Completed,"A while True loop in main.py controls execution, allowing continuous interaction until exit while preventing repeated title and data loading."
Section A - 6,Completed,"Submenu options are presented dynamically through functions in tui.py, enabling navigation between viewing, visualisation, exporting, or exiting."
Section B - 7,Completed,"Reviews are filtered by park name using get_reviews_by_park() in process.py after collecting user input via the TUI."
Section B - 8,Completed,"Review counts for specific parks and reviewer locations are calculated using get_review_count_by_park_location()."
Section B - 9,Completed,"Average review scores per park and year are calculated using get_average_score_per_year_by_park() and displayed to the user."
Section C - 10,Completed,"A pie chart showing review distribution per park is generated using matplotlib via plot_most_reviewed_parks()."
Section C - 11,Completed,"A bar chart displaying average review scores per park is produced using plot_average_scores_per_park()."
Section C - 12,Completed,"Top reviewer locations for a selected park are visualised using plot_top_locations_by_park()."
Section C - 13,Completed,"Average ratings by month for a selected park are displayed using plot_average_rating_by_month()."
Section D - 14,Completed,"Average scores per park by reviewer location are aggregated and displayed without additional user input."
Section D - 15,Completed,"An exporter module with a DataExporter class enables exporting summary data to TXT, CSV, and JSON formats, supported by an export menu and class diagram."
